human_id,ST,host_source_raw,collection_year,country,country_base_label,country_harmonised,country_iso_alpha2,country_iso_alpha3,country_iso_numeric,country_harmonisation_status
SAMD00497787,ST45,Homo sapiens,2019,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497807,ST200,Homo sapiens,2019,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497809,ST2264,Homo sapiens,2019,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497828,ST219,Homo sapiens,2019,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497830,ST37,Homo sapiens,2019,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497832,ST317,Homo sapiens,2019,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497848,ST37,Homo sapiens,2020,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497851,ST4961,Homo sapiens,2020,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497859,ST1634,Homo sapiens,2019,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497861,ST268,Homo sapiens,2019,Japan:Yamagata,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497875,ST36,Homo sapiens,2020,Japan:Ibaraki,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497876,ST36,Homo sapiens,2020,Japan:Ibaraki,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497887,ST147,Homo sapiens,2020,Japan:Ibaraki,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497888,ST219,Homo sapiens,2020,Japan:Ibaraki,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497892,ST869,Homo sapiens,2020,Japan:Ibaraki,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497893,ST15,Homo sapiens,2019,Japan:Ibaraki,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497895,ST45,Homo sapiens,2019,Japan:Ibaraki,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497899,ST722,Homo sapiens,2020,Japan:Ibaraki,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497903,ST22,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497910,ST17,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497911,ST25,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497918,ST661,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497920,ST20,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497923,ST655,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497928,ST25,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497931,ST940,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497935,ST6077,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497952,ST617,Homo sapiens,2020,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497953,ST723,Homo sapiens,2020,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497954,ST307,Homo sapiens,2020,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497955,ST3663,Homo sapiens,2020,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497968,ST661,Homo sapiens,2020,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497993,ST517,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497995,ST2485,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00497996,ST45,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498003,ST45,Homo sapiens,2019,Japan:Tochigi,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498013,ST7174,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498014,ST15,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498015,ST268,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498016,ST268,Homo sapiens,2020,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498017,ST45,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498018,ST412,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498026,ST268,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498027,ST35,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498028,ST268,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498041,ST37,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498043,ST412,Homo sapiens,2019,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498047,ST7175,Homo sapiens,2020,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498048,ST290,Homo sapiens,2020,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498050,ST268,Homo sapiens,2020,Japan:Gunma,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498068,ST15,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498073,ST3369,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498075,ST628,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498091,ST25,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498094,ST65,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498104,ST412,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498112,ST896,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498115,ST412,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498116,ST4423,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498118,ST147,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498120,ST37,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498129,ST37,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498137,ST101,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498142,ST412,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498145,ST290,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498146,ST995,Homo sapiens,2019,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
SAMD00498152,ST528,Homo sapiens,2020,Japan:Saitama,Japan,Japan,JP,JPN,392,iso_3166_1
